AED設置場所名称,よみ,住所,経度,緯度,利用開始時間,利用終了時間,設置位置,注意事項,URL,備考
京都府庁,きょうとふちょう,京都市上京区下立売通新町西入薮ノ内町,135.7550451,35.02086531,,,1号館1階ロビー,,,
京都府庁,きょうとふちょう,京都市上京区下立売通新町西入薮ノ内町,135.7561522,35.0215175,,,3号館1階ロビー,,,
京都府庁福利厚生センター,きょうとふちょうふくりこうせいせんたー,京都市上京区下立売通新町西入薮ノ内町,135.7550632,35.02208773,,,１階ロビー,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,病棟１階エレベーターホール,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,病棟２階エレベーターホール,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,病棟３階エレベーターホール,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,病棟４階エレベーターホール,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,病棟５階エレベーターホール,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,病棟６階エレベーターホール,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,病棟７階エレベーターホール,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,病棟８階エレベーターホール,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,病棟地下１階エレベーターホール,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,外来新棟１階,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,外来新棟２階,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,外来新棟３階,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,外来新棟４階,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,救急外来,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,リハビリテーション部,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,25号　ナースステーション内,,,
府立医科大学,ふりついかだいがく,京都市上京区河原町通広小路上ル梶井町465,135.7699491,35.02387761,,,こども病院５階,,,
京都府立医科大学附属図書館・合同講義棟,ふりついかだいがくふぞくとしょかんごうどうこうぎとう,京都市上京区広小路通河原町西入,135.7686515,35.02368502,,,1階ロビー奥（法人本部南壁面）,,,
府立府民ホール,ふりつふみんほーる,京都市上京区烏丸通一条下ル龍前町590-1,135.7589657,35.02550418,,,1階府民ロビー,,,
府立文化芸術会館,ふりつぶんかげいじゅつかいかん,京都市上京区寺町通広小路下ル,135.7689578,35.02303709,,,1階事務所前,,,
府立体育館,ふりつたいいくかん,京都市北区大将軍鷹司町,135.7286442,35.023095,,,2階事務室内,,,
府立堂本印象美術館,ふりつどうもといんしょうびじゅつかん,京都市北区平野上柳町,135.726098,35.03510726,,,美術館入口,,,
府立植物園,ふりつしょくぶつえん,京都市左京区下鴨半木町,135.7627726,35.04707554,,,会館1階事務室,,,
府立総合資料館,ふりつそうごうしりょうかん,京都市左京区下鴨半木町1-4,135.7664341,35.05056735,,,3階閲覧室前ホール,,,
府立図書館,ふりつとしょかん,京都市左京区岡崎成勝寺町9,135.7819868,35.01296484,,,1階エントランスホール,,,
府立大学,ふりつだいがく,京都市左京区下鴨半木町1-5,135.7669571,35.04727233,,,本館・合同講義棟1階保安室横,,,
京都文化博物館,きょうとぶんかはくぶつかん,京都市中京区高倉通三条上ル東片町623-1,135.7624285,35.00930684,,,本館1階総合受付前,,,
府立総合社会福祉会館,ふりつそうごうしゃかいふくしかいかん,京都市中京区竹屋町通烏丸東入ル清水町375,135.7598941,35.01642977,,,1階受付,,,
家庭支援総合センター,かていしえんそうごうせんたー,京都市東山区清水四丁目185-1,135.7772021,34.99561393,,,エントランスホール,,,
京都駅ビル,きょうとえきびる,京都市下京区烏丸通塩小路下ル東塩小路町,135.7588813,34.98602188,,,2階インフォメーション附近,,,
京都駅ビル,きょうとえきびる,京都市下京区烏丸通塩小路下ル東塩小路町,135.7586005,34.98545186,,,地下1階コンコース,,,
京都駅ビル,きょうとえきびる,京都市下京区烏丸通塩小路下ル東塩小路町,135.7580083,34.98601716,,,伊勢丹1階入口,,,
京都駅ビル,きょうとえきびる,京都市下京区烏丸通塩小路下ル東塩小路町,135.7608563,34.98579627,,,京都劇場2階エントランス,,,
京都駅ビル,きょうとえきびる,京都市下京区烏丸通塩小路下ル東塩小路町,135.7605988,34.98592097,,,ホテルグランヴィア2階エントランス,,,
京都テルサ,きょうとてるさ,京都市南区東九条下殿田町70,135.7559318,34.97757296,,,西館1階総合案内,,,
京都テルサ,きょうとてるさ,京都市南区東九条下殿田町70,135.755954,34.97738811,,,西館4階フィットネスクラブ　サービスカウンター,,,
京都テルサ,きょうとてるさ,京都市南区東九条下殿田町70,135.755954,34.97738811,,,東館1階玄関ロビー,,,
ぶらり嵐山,ぶらりあらしやま,京都市右京区嵯峨天龍寺北造路町18-1,135.6771523,35.01659937,,,事務室内,,,
府立ゼミナールハウス,ふりつぜみなーるはうす,京都市右京区京北下中町鳥谷2,135.6343688,35.19937067,,,本館3階事務室入口前,,,
中小企業会館,ちゅうしょうきぎょうかいかん,京都市右京区西院東中水町17,135.7326558,34.99413349,,,1階事務室入口前,,,
総合見本市会館,そうごうみほんいちかいかん,京都市伏見区竹田鳥羽殿町5,135.7510621,34.9473693,,,1階ロビー内,,,
総合見本市会館,そうごうみほんいちかいかん,京都市伏見区竹田鳥羽殿町5,135.7510621,34.9473693,,,1階大展示場内,,,
府立伏見港公園,ふりつふしみこうこうえん,京都市伏見区葭島金井戸町,135.7579716,34.92500383,,,1階ロビー入口横,,,
府立伏見港公園,ふりつふしみこうこうえん,京都市伏見区葭島金井戸町,135.757894,34.92494103,,,地階プール指導員室,,,
総合教育センター,そうごうきょういくせんたー,京都市伏見区桃山毛利長門西町,135.7693093,34.93706292,,,本館1階事務室前,,,
丹後保健所,たんごほけんじょ,京丹後市峰山町丹波855,135.0731155,35.62622286,,,1階受付,,,
農林水産技術センター　畜産センター　碇高原牧場,のうりんすいさんぎじゅつせんたーちくさんせんたーいかりこうげんぼくじょう,京丹後市丹後町碇1,135.1928542,35.7190094,,,2階宿直室前,,,
丹後勤労者福祉会館,たんごきんろうしゃふくしかいかん,京丹後市大宮町河辺小字豊野3355,135.0843065,35.60253026,,,1階玄関ロビー,,,
農業公園丹後あじわいの郷,のうぎょうこうえんたんごあじわいのさと,京丹後市弥栄町鳥取123,135.0668863,35.67718759,,,体験宿泊施設1階事務室内,,,
宮津総合庁舎,みやずそうごうちょうしゃ,宮津市字吉原2586-2,135.1992265,35.53211643,,,1階総合案内コーナー前,,,
府立青少年海洋センター,ふりつせいしょうねんかいようせんたー,宮津市字田井小字大池382,135.2309069,35.5823959,,,研修棟1階保健室内,,,
丹後海と星の見える丘公園,たんごうみとほしのみえるおかこうえん,宮津市里波見,135.2362,35.62366288,,,セミナーハウス1階事務室入口前,,,
福知山総合庁舎,ふくちやまそうごうちょうしゃ,福知山市篠尾新町1丁目91,135.1133311,35.29926519,,,1階総合窓口前,,,
中丹勤労者福祉会館,ちゅうたんきんろうしゃふくしかいかん,福知山市昭和新町105,135.1167493,35.30412266,,,1階事務室内,,,
福知山高等技術専門校,ふくちやまこうとうぎじゅつせんもんこう,福知山市南平野町90,135.1762931,35.29160423,,,職員室内黒板横,,,
舞鶴総合庁舎,まいずるそうごうちょうしゃ,舞鶴市字浜2020,135.3894647,35.47639157,,,1階府民ホール内,,,
中丹東保健所,ちゅうたんひがしほけんじょ,舞鶴市倉谷村西1499,135.3389002,35.44545563,,,1階ホール,,,
舞鶴勤労者福祉会館,まいずるきんろうしゃふくしかいかん,舞鶴市字南田辺小字二ノ丸1,135.3304777,35.44774002,,,1階事務室内,,,
綾部総合庁舎,あやべそうごうちょうしゃ,綾部市川糸町丁畠10-2,135.2607803,35.30056507,,,玄関ホール,,,
総合教育センター北部研修所,そうごうきょういくせんたーほくぶけんしゅうしょ,綾部市川糸町堀之内,135.2623662,35.29933676,,,玄関ロビー,,,
中丹文化会館,ちゅうたんぶんかかいかん,綾部市里町久田,135.2636071,35.3122297,,,1階事務所前,,,
府立農業大学校,ふりつのうぎょうだいがっこう,綾部市位田町桧前,135.2339134,35.32404447,,,松風寮1階玄関ホール,,,
府立丹波自然運動公園,ふりつたんばしぜんうんどうこうえん,船井郡京丹波町曽根崩下代110-7,135.4155693,35.16561239,,,公園センター受付,,,
府立丹波自然運動公園,ふりつたんばしぜんうんどうこうえん,船井郡京丹波町曽根崩下代110-7,135.4134827,35.16901288,,,宿泊所受付,,,
みずほガーデンロッジ,みずほがーでんろっじ,船井郡京丹波町大朴皿引1-4「グリーンランドみずほ」内,135.363877,35.16534676,,,1階フロントカウンター,,,
園部総合庁舎,そのべそうごうちょうしゃ,南丹市園部町小山東町藤ノ木21,135.4821716,35.10439692,,,1階地域総務室前ロビー,,,
口丹波勤労者福祉会館,くちたんばきんろうしゃふくしかいかん,南丹市八木町西田金井畠9,135.5376981,35.07395656,,,1階事務室内,,,
府立淇陽学校,ふりつきようがっこう,南丹市園部町栄町3-71,135.4714952,35.0991423,,,本館1階事務室内,,,
るり渓少年自然の家,るりけいしょうねんしぜんのいえ,南丹市園部町大河内小米阪1-9,135.3996417,35.02957611,,,1階事務室,,,
府民の森ひよし,ふみんのもりひよし,南丹市日吉町天若上ノ所25,135.5296746,35.13722698,,,森の資料館内事務所入口,,,
亀岡総合庁舎,かめおかそうごうちょうしゃ,亀岡市荒塚町1-4-1,135.5737575,35.01043493,,,1階ロビー,,,
府立洛西浄化センター公園,ふりつらくさいじょうかせんたーこうえん,長岡京市勝竜寺山崎作り20-5,135.7086233,34.90829131,,,管理棟玄関事務室前,,,
長岡京記念文化会館,ながおかきょうきねんぶんかかいかん,長岡京市天神,135.6882151,34.92718989,,,1階事務所前,,,
乙訓総合庁舎,おとくにそうごうちょうしゃ,向日市上植野町馬立8,135.69918,34.94011193,,,乙訓保健所1階玄関ロビー,,,
府立府民スポーツ広場,ふりつふみんすぽーつひろば,久御山町佐古梶石1-2,135.833114,34.85857645,,,管理棟管理事務室内,,,
宇治総合庁舎,うじそうごうちょうしゃ,宇治市宇治若森7-6,135.7973248,34.88781366,,,山城北保健所1階玄関ロビー,,,
府立山城総合運動公園,ふりつやましろそうごううんどうこうえん,宇治市広野町八軒屋谷1,135.8056583,34.86998201,,,体育館事務室内,,,
府立山城総合運動公園,ふりつやましろそうごううんどうこうえん,宇治市広野町八軒屋谷1,135.8056583,34.86998201,,,体育館事務室内,,,
府立山城総合運動公園,ふりつやましろそうごううんどうこうえん,宇治市広野町八軒屋谷1,135.8043256,34.87058811,,,公園センター自動販売機スペース横,,,
府立山城総合運動公園,ふりつやましろそうごううんどうこうえん,宇治市広野町八軒屋谷1,135.8044586,34.86792586,,,クラブハウス1階休憩所,,,
城南勤労者福祉会館,じょうなんきんろうしゃふくしかいかん,宇治市伊勢田町新中ノ荒21-8,135.7714266,34.8804865,,,1階事務室前,,,
田辺総合庁舎,たなべそうごうちょうしゃ,京田辺市田辺明田1,135.7693077,34.8231442,,,府民ホール入口横,,,
山城勤労者福祉会館,やましろきんろうしゃふくしかいかん,綴喜郡井手町大字井手小字大塚99-35,135.8135685,34.80560639,,,1階事務室内,,,
木津総合庁舎,きずそうごうちょうしゃ,木津川市木津上戸18-1,135.8267691,34.73802673,,,山城南保健所1階,,,
けいはんなプラザ,けいはんなぷらざ,相楽郡精華町光台1-7,135.7652353,34.7456067,,,ホテルフロント,,,
府立関西文化学術研究都市記念公園（けいはんな記念公園）,ふりつかんさいぶんかがくじゅつとしきねんこうえん（けいはんなきねんこうえん）,相楽郡精華町精華台六丁目1,135.7784051,34.74650521,,,事務所,,,
京都府立大学生命環境学部附属農場,きょうとふりつだいがくせいめいかんきょうがくぶふぞくのうじょう,相楽郡精華町大字北稲八間小字大路74,135.7606476,34.7739872,,,玄関,,,
山城高等学校,やましろこうとうがっこう,京都市北区大将軍坂田町２９,135.7256705,35.02301548,,,玄関,,,
鴨沂高等学校,おきこうとうがっこう,京都市上京区寺町通荒神口下ル松蔭町１３１,135.7679097,35.02071562,,,玄関,,,
鴨沂高等学校（紫野運動場）,おきこうとうがっこう（むらさきのうんどうじょう）,京都市北区小山南大野町１−４,135.755674,35.04048311,,,体育振興施設管理室前,,,
洛北高等学校,らくほくこうとうがっこう,京都市左京区下鴨梅ノ木町５９,135.7714221,35.04625829,,,生徒昇降口付近,,,
北稜高等学校,ほくりょうこうとうがっこう,京都市左京区岩倉幡枝町１５４,135.7732042,35.06989555,,,Ａ棟１階保健室前,,,
朱雀高等学校,すざくこうとうがっこう,京都市中京区西ノ京式部町１,135.7450244,35.01414694,,,玄関,,,
洛東高等学校,らくとうこうとうがっこう,京都市山科区安朱川向町１０,135.8169546,34.99672834,,,本館１Ｆ職員・来客用玄関,,,
鳥羽高等学校,とばこうとうがっこう,京都市南区西九条大国町１,135.745077,34.97853318,,,１階事務室入口前,,,
嵯峨野高等学校,さがのこうとうがっこう,京都市右京区常盤段ノ上町１５,135.7037145,35.01957822,,,北校舎１階保健室前,,,
北嵯峨高等学校,きたさがこうとうがっこう,京都市右京区嵯峨大沢柳井手町７,135.6807977,35.02634997,,,１棟１階廊下トイレ前,,,
北桑田高等学校,きたくわだこうとうがっこう,京都市右京区京北下弓削町沢の奥１５,135.6320188,35.19643569,,,管理棟玄関ホール,,,
北桑田高等学校美山分校,きたくわだこうとうがっこうみやまぶんこう,南丹市美山町上平屋梁ヶ瀬９番地２,135.5827386,35.27305211,,,職員玄関,,,
桂高等学校,かつらこうとうがっこう,京都市西京区川島松ノ木本町２７,135.7054966,34.97229243,,,学習会館屋外,,,
洛西高等学校,らくさいこうとうがっこう,京都市西京区大原野西境谷町１丁目１２−１・２,135.6672956,34.96263329,,,体育館玄関入口,,,
桃山高等学校,ももやまこうとうがっこう,京都市伏見区桃山毛利長門東町８,135.7701848,34.93683073,,,正面玄関ホール（事務室前）,,,
東稜高等学校,とうりょうこうとうがっこう,京都市伏見区醍醐新町裏町２５−１,135.8182782,34.95547979,,,体育職員室内,,,
洛水高等学校,らくすいこうとうがっこう,京都市伏見区横大路向ヒ１８,135.7337901,34.9240461,,,玄関ホール横玄関,,,
京都すばる高等学校,きょうとすばるこうとうがっこう,京都市伏見区向島西定請１２０,135.7643835,34.9125345,,,事務室横正面玄関入口,,,
峰山高等学校,みねやまこうとうがっこう,京丹後市峰山町古殿１１８５,135.0547923,35.62468386,,,保健室前廊下,,,
峰山高等学校,みねやまこうとうがっこう,京丹後市峰山町古殿１１８５,135.0547923,35.62468386,,,体育職員室,,,
峰山高等学校弥栄分校,みねやまこうとうがっこうやさかぶんこう,京丹後市弥栄町黒部小字奈具３８０,135.0947648,35.67208328,,,保健室前廊下,,,
網野高等学校,あみのこうとうがっこう,京丹後市網野町網野２８２０,135.0325549,35.68723116,,,正面玄関,,,
網野高等学校,あみのこうとうがっこう,京丹後市網野町網野２８２０,135.0325549,35.68723116,,,体育職員室,,,
網野高等学校間人分校,あみのこうとうがっこうたいざぶんこう,京丹後市丹後町間人３３７,135.0976061,35.73140058,,,副校長室,,,
久美浜高等学校,くみはまこうとうがっこう,京丹後市久美浜町橋爪６５,134.9319396,35.59228011,,,１階保健室入口前,,,
久美浜高等学校,くみはまこうとうがっこう,京丹後市久美浜町橋爪６５,134.9319396,35.59228011,,,第１体育館体育職員室内,,,
海洋高等学校,かいようこうとうがっこう,宮津市字上司１５６７−１,135.2352864,35.55095206,,,正面玄関入ってすぐの事務室前,,,
海洋高等学校,かいようこうとうがっこう,宮津市字上司１５６７−１,135.2352864,35.55095206,,,実習船,,,
宮津高等学校,みやずこうとうがっこう,宮津市字滝馬２３,135.189073,35.52977426,,,玄関正面の廊下,,,
宮津高等学校伊根分校,みやずこうとうがっこういねぶんこう,与謝郡伊根町字日出２５２,135.2740522,35.67340231,,,玄関正面の廊下,,,
加悦谷高等学校,かやだにこうとうがっこう,与謝郡与謝野町三河内８１０,135.095169,35.52474805,,,来客用玄関（廊下）,,,
福知山高等学校,ふくちやまこうとうがっこう,福知山市字土師６５０,135.1456212,35.29504725,,,第１体育館,,,
福知山高等学校三和分校,ふくちやまこうとうがっこうみわぶんこう,福知山市三和町千束小字橋ノ谷３５−１,135.2253283,35.22047301,,,本館玄関前,,,
工業高等学校,こうぎょうこうとうがっこう,福知山市字石原小字上野４５,135.1768129,35.29676223,,,管理棟１階事務室前,,,
大江高等学校,おおえこうとうがっこう,福知山市大江町金屋５７８,135.1569251,35.39375852,,,管理棟玄関内,,,
東舞鶴高等学校,ひがしまいずるこうとうがっこう,舞鶴市字泉源寺７６６,135.4151353,35.48399489,,,第一体育館玄関,,,
東舞鶴高等学校浮島分校,ひがしまいずるこうとうがっこううきしまぶんこう,舞鶴市字溝尻１５０−１３,135.3993513,35.47767454,,,事務室,,,
西舞鶴高等学校,にしまいずるこうとうがっこう,舞鶴市字引土１４５,135.3277264,35.43892548,,,玄関（来客・職員用）,,,
綾部高等学校,あやべこうとうがっこう,綾部市岡町長田１８,135.2375749,35.30084223,,,体育館,,,
綾部高等学校東分校,あやべこうとうがっこうひがしぶんこう,綾部市川糸町堀ノ内１８,135.2621408,35.29840126,,,教員昇降口（事務室前）,,,
須知高等学校,しゅちこうとうがっこう,船井郡京丹波町豊田下川原１６６−１,135.4165398,35.17355328,,,食品製造実習棟,,,
須知高等学校,しゅちこうとうがっこう,船井郡京丹波町豊田下川原１６６−１,135.4149404,35.17380789,,,体育館玄関入口,,,
園部高等学校,そのべこうとうがっこう,南丹市園部町小桜町９７,135.4694468,35.10481759,,,管理棟２階職員室前,,,
園部高等学校,そのべこうとうがっこう,南丹市園部町小桜町９７,135.4694468,35.10481759,,,体育館アリーナ入口前,,,
農芸高等学校,のうげいこうとうがっこう,南丹市園部町南大谷下芝１２,135.4559396,35.05500142,,,正面玄関前（２棟）,,,
農芸高等学校,のうげいこうとうがっこう,南丹市園部町南大谷下芝１２,135.4559396,35.05500142,,,農機具実習棟前,,,
亀岡高等学校,かめおかこうとうがっこう,亀岡市横町２３,135.5819575,35.01126287,,,西キャンパス１階玄関,,,
南丹高等学校,なんたんこうとうがっこう,亀岡市馬路町中島１,135.5571193,35.0537481,,,体育館入口,,,
南丹高等学校,なんたんこうとうがっこう,亀岡市馬路町中島１,135.5571193,35.0537481,,,２棟１階保健室内,,,
乙訓高等学校,おとくにこうとうがっこう,長岡京市友岡１丁目１−１,135.6935772,34.91926212,,,玄関外側,,,
乙訓高等学校,おとくにこうとうがっこう,長岡京市友岡１丁目１−１,135.6929854,34.91877166,,,体育館入口ロビー内,,,
乙訓高等学校,おとくにこうとうがっこう,長岡京市友岡１丁目１−１,135.6935772,34.91926212,,,Ｃ棟入口外側,,,
西乙訓高等学校,にしおとくにこうとうがっこう,長岡京市下海印寺西明寺４１,135.6790206,34.91318272,,,体育館玄関,,,
向陽高等学校,こうようこうとうがっこう,向日市上植野町西大田,135.7102649,34.93421669,,,保健室前廊下,,,
久御山高等学校,くみやまこうとうがっこう,久御山町字林,135.7568063,34.88140424,,,１Ｆ廊下,,,
久御山高等学校（共用グラウンド）,くみやまこうとうがっこう（きょうようぐらうんど）,宇治市広野町大開７０,135.7941243,34.87605602,,,グラウンド内,,,
東宇治高等学校,ひがしうじこうとうがっこう,宇治市木幡平尾４３−２,135.8094772,34.92573132,,,玄関内事務室前,,,
城南菱創高等学校,じょうなんりょうそうこうとうがっこう,宇治市小倉町南堀池,135.7740565,34.89166238,,,体育館出入口,,,
莵道高等学校,とどこうとうがっこう,宇治市五ケ庄五雲峰４−１,135.8161384,34.90994308,,,保健室前廊下,,,
京都八幡高等学校北キャンパス,きょうとやわたこうとうがっこうきたきゃんぱす,八幡市男山吉井７,135.7008784,34.85963657,,,第１棟玄関（事務室前）,,,
京都八幡高等学校南キャンパス,きょうとやわたこうとうがっこうみなみきゃんぱす,八幡市内里柿谷１６−１,135.7200384,34.85035166,,,事務室窓口前,,,
城陽高等学校,じょうようこうとうがっこう,城陽市寺田宮ノ平１,135.789347,34.85289005,,,玄関,,,
西城陽高等学校,にしじょうようこうとうがっこう,城陽市枇杷庄京縄手４６−１,135.7660583,34.84272407,,,生徒昇降口,,,
田辺高等学校,たなべこうとうがっこう,京田辺市河原神谷２４,135.7776476,34.82071937,,,体育職員室前,,,
木津高等学校,きずこうとうがっこう,木津川市木津内田山３４,135.8305377,34.73846629,,,管理棟１階事務室横,,,
南陽高等学校,なんようこうとうがっこう,木津川市兜台６丁目２,135.7846527,34.7305907,,,正面玄関,,,
南陽高等学校,なんようこうとうがっこう,木津川市兜台６丁目２,135.7849652,34.72982794,,,体育館入口,,,
盲学校,もうがっこう,京都市北区紫野花ノ坊町１,135.7372451,35.03960507,,,寄宿舎,,,
盲学校,もうがっこう,京都市北区紫野花ノ坊町１,135.7372451,35.03960507,,,高等部１Ｆ理療科更衣室内,,,
聾学校,ろうがっこう,京都市右京区御室大内４,135.7134605,35.03229841,,,管理棟玄関,,,
盲聾学校舞鶴分校,もうろうがっこうまいずるぶんこう,舞鶴市字南田辺８３,135.3335402,35.44761852,,,正面玄関を入った右壁沿い,,,
与謝の海支援学校,よさのうみしえんがっこう,与謝郡与謝野町男山９４５,135.1703926,35.5747721,,,正面玄関,,,
中丹支援学校,ちゅうたんしえんがっこう,福知山市大字私市小字打溝８,135.1841417,35.31288282,,,玄関,,,
舞鶴支援学校,まいずるしえんがっこう,舞鶴市堀４−１,135.3395555,35.41022154,,,管理棟１階玄関付近,,,
舞鶴支援学校行永分校,まいずるしえんがっこうゆきながぶんこう,舞鶴市字行永２５１０−１７,135.4033987,35.46207808,,,保健室前,,,
舞鶴支援学校北吸分校,まいずるしえんがっこうきたすいぶんこう,舞鶴市字北吸無番地,135.3776125,35.47306711,,,１階玄関付近,,,
丹波支援学校,たんばしえんがっこう,南丹市八木町柴山坊田１１８,135.515385,35.06695018,,,管理棟玄関前,,,
丹波支援学校亀岡分校,たんばしえんがっこうかめおかぶんこう,亀岡市千代川町湯井巽筋３８,135.5413813,35.04195374,,,１階廊下,,,
向日が丘支援学校,むこうがおかしえんがっこう,長岡京市井ノ内朝日寺１１,135.6829672,34.94019258,,,玄関,,,
宇治支援学校,うじしえんがっこう,宇治市広野町丸山１０,135.7856465,34.87575821,,,北校舎１階エントランス,,,
宇治支援学校,うじしえんがっこう,宇治市広野町丸山１０,135.7854445,34.87550742,,,北校舎４階プール入口,,,
八幡支援学校,やわたしえんがっこう,八幡市内里柿谷１６−１,135.7210899,34.85032514,,,玄関付近（中側）,,,
城陽支援学校,じょうようしえんがっこう,城陽市中芦原１−４,135.815442,34.83138283,,,玄関,,,
南山城支援学校,みなみやましろしえんがっこう,相楽郡精華町大字山田小字医王寺１,135.7921688,34.74070761,,,1階職員室南側（火災受信所）,,,
北消防署,きたしょうぼうしょ,京都市北区紫竹下緑町８７,135.748973,35.04951337,,,1階事務室内,,,
北保健センター,きたほけんせんたー,京都市北区紫野東御所田町33-1,135.7536059,35.04097203,,,西庁舎１階健康づくり推進課内,,,
京都市営地下鉄北山駅,きょうとしえいちかてつきたやまえき,京都市北区上賀茂岩ヶ垣内町,135.7648299,35.05122268,,,改札付近,,,
京都市営地下鉄北大路駅,きょうとしえいちかてつきたおおじえき,京都市北区小山北上総町79,135.7586356,35.04453328,,,改札付近,,,
上京区役所,かみぎょうくやくしょ,京都市上京区今出川通室町西入掘出シ町289,135.7566896,35.02967649,,,２階総務課,,,
