地域コード,地域,2011年_人口_総数(人),2011年_人口_男(人),2011年_人口_女(人),2012年_人口_総数(人),2012年_人口_男(人),2012年_人口_女(人),2013年_人口_総数(人),2013年_人口_男(人),2013年_人口_女(人),2014年_人口_総数(人),2014年_人口_男(人),2014年_人口_女(人),2015年_人口_総数(人),2015年_人口_男(人),2015年_人口_女(人),2016年_人口_総数(人),2016年_人口_男(人),2016年_人口_女(人)
26000,京都府,2632979,1263289,1369690,2628268,1259922,1368346,2621658,1256043,1365615,2615514,1252501,1363013,2610353,1248972,1361381,2605731,1246257,1359474
26100,京都市,1474726,701138,773588,1475192,700769,774423,1474669,700306,774363,1474484,700014,774470,1475183,699748,775435,1474735,699316,775419
26101,京都市北区,121346,57782,63564,120695,57478,63217,120220,57306,62914,119638,57017,62621,119474,56984,62490,119074,56731,62343
26102,京都市上京区,83755,38629,45126,84155,38793,45362,84329,38894,45435,84657,39003,45654,85113,39212,45901,85146,39240,45906
26103,京都市左京区,168771,81827,86944,168821,81802,87019,168823,81666,87157,168641,81484,87157,168266,81338,86928,168497,81515,86982
26104,京都市中京区,106280,49260,57020,106979,49562,57417,107608,49728,57880,109002,50358,58644,109341,50377,58964,110430,50850,59580
26105,京都市東山区,40314,17033,23281,39912,16888,23024,39659,16856,22803,39271,16742,22529,39044,16694,22350,38490,16475,22015
26110,京都市山科区,135926,64772,71154,135747,64598,71149,135835,64560,71275,135555,64393,71162,135471,64273,71198,135091,64053,71038
26106,京都市下京区,80029,37059,42970,80645,37290,43355,81261,37468,43793,81832,37658,44174,82668,37933,44735,82682,37955,44727
26107,京都市南区,98693,49242,49451,99154,49431,49723,99198,49490,49708,99407,49604,49803,99927,49725,50202,100781,50095,50686
26108,京都市右京区,203245,96493,106752,203630,96510,107120,204265,96800,107465,204179,96788,107391,204262,96673,107589,204135,96435,107700
26111,京都市西京区,152497,72961,79536,152278,72752,79526,151510,72453,79057,151228,72292,78936,150962,72098,78864,150477,71903,78574
26109,京都市伏見区,283870,136080,147790,283176,135665,147511,281961,135085,146876,281074,134675,146399,280655,134441,146214,279932,134064,145868
26201,福知山市,79825,39243,40582,79873,39298,40575,79662,39275,40387,79439,39313,40126,78935,39156,39779,78461,38931,39530
26202,舞鶴市,87750,43786,43964,86802,43208,43594,85926,42735,43191,84939,42230,42709,83990,41694,42296,82896,41144,41752
26203,綾部市,35407,16829,18578,35074,16691,18383,34671,16528,18143,34241,16360,17881,33821,16197,17624,33431,16022,17409
26204,宇治市,189452,91829,97623,188604,91327,97277,187536,90641,96895,186193,89824,96369,184678,89014,95664,183711,88410,95301
26205,宮津市,19705,9262,10443,19376,9126,10250,19074,9005,10069,18760,8891,9869,18426,8726,9700,18094,8570,9524
26206,亀岡市,92056,44760,47296,91568,44493,47075,90751,44050,46701,90228,43707,46521,89479,43267,46212,88889,42997,45892
26207,城陽市,79385,38269,41116,78669,37912,40757,77995,37560,40435,77441,37255,40186,76869,36952,39917,76263,36604,39659
26208,向日市,53938,25890,28048,53546,25646,27900,53328,25509,27819,53246,25408,27838,53380,25387,27993,54430,25928,28502
26209,長岡京市,79656,38763,40893,79594,38689,40905,79890,38765,41125,79743,38662,41081,80090,38789,41301,80213,38806,41407
26210,八幡市,74217,36307,37910,73773,36003,37770,73576,35840,37736,73155,35520,37635,72664,35212,37452,72265,34966,37299
26211,京田辺市,68353,33842,34511,69315,34218,35097,69465,34156,35309,70269,34490,35779,70835,34728,36107,71550,35066,36484
26212,京丹後市,58224,27842,30382,57472,27521,29951,56669,27115,29554,55933,26746,29187,55054,26353,28701,54228,25927,28301
26213,南丹市,34845,16974,17871,34482,16757,17725,34265,16684,17581,33750,16401,17349,33145,16057,17088,32893,15956,16937
26214,木津川市,70696,33939,36757,71019,34032,36987,71226,34120,37106,71755,34348,37407,72840,34805,38035,73861,35291,38570
26303,乙訓郡大山崎町,15015,7284,7731,15052,7326,7726,15049,7296,7753,15074,7322,7752,15181,7385,7796,15355,7471,7884
26322,久世郡久御山町,15871,7764,8107,15831,7705,8126,15846,7743,8103,15733,7690,8043,15805,7699,8106,15686,7629,8057
26343,綴喜郡井手町,8325,4078,4247,8214,4014,4200,8133,3977,4156,8021,3907,4114,7910,3840,4070,7736,3737,3999
26344,綴喜郡宇治田原町,9647,4781,4866,9545,4739,4806,9541,4734,4807,9458,4700,4758,9319,4647,4672,9217,4620,4597
26364,相楽郡笠置町,1590,745,845,1528,712,816,1472,689,783,1430,673,757,1368,644,724,1319,620,699
26365,相楽郡和束町,4395,2074,2321,4300,2023,2277,4196,1973,2223,4066,1907,2159,3956,1846,2110,3879,1819,2060
26366,相楽郡精華町,35869,17161,18708,35939,17185,18754,36048,17205,18843,36319,17342,18977,36376,17390,18986,36377,17355,19022
26367,相楽郡南山城村,2982,1413,1569,2949,1399,1550,2825,1339,1486,2738,1298,1440,2652,1256,1396,2607,1242,1365
26407,船井郡京丹波町,15533,7295,8238,15385,7245,8140,15125,7117,8008,14764,6954,7810,14453,6817,7636,14118,6660,7458
26463,与謝郡伊根町,2370,1109,1261,2291,1077,1214,2224,1045,1179,2183,1032,1151,2110,1006,1104,2059,983,1076
26465,与謝郡与謝野町,23147,10912,12235,22875,10807,12068,22496,10636,11860,22152,10507,11645,21834,10357,11477,21458,10187,11271
