西暦,和暦,地域コード,地域,15歳以上人口総数(人),労働力人口_総数(人),労働力人口_就業者(人),労働力人口_完全失業者(人),非労働力人口(人),男_15歳以上人口総数(人),男_労働力人口_総数(人),男_労働力人口_就業者(人),男_労働力人口_完全失業者(人),男_非労働力人口(人),女_15歳以上人口総数(人),女_労働力人口_総数(人),女_労働力人口_就業者(人),女_労働力人口_完全失業者(人),女_非労働力人口(人)
1990年,平成2年,26000,京都府,2143444,1310827,1273483,37344,806247,1030048,789160,764864,24296,226185,1113396,521667,508619,13048,580062
1995年,平成7年,26000,京都府,2229443,1376518,1315528,60990,832461,1070280,821524,782909,38615,235907,1159163,554994,532619,22375,596554
2000年,平成12年,26000,京都府,2269506,1335672,1270485,65187,859067,1084875,786494,745478,41016,253411,1184631,549178,525007,24171,605656
2005年,平成17年,26000,京都府,2285797,1328122,1248020,80102,866299,1087398,767896,715838,52058,263274,1198399,560226,532182,28044,603025
2010年,平成22年,26000,京都府,2259521,1300144,1219370,80774,837368,1070978,740807,687458,53349,272285,1188543,559337,531912,27425,565083
2010年,平成22年,26100,京都市,1265247,727184,680855,46329,444029,593106,404730,374889,29841,144005,672141,322454,305966,16488,300024
2010年,平成22年,26101,京都市北区,103932,58014,54928,3086,38624,48906,32108,30010,2098,13453,55026,25906,24918,988,25171
2010年,平成22年,26102,京都市上京区,72944,42385,40016,2369,26251,33132,22147,20642,1505,8936,39812,20238,19374,864,17315
2010年,平成22年,26103,京都市左京区,145202,78813,74538,4275,57633,69455,44133,41284,2849,21201,75747,34680,33254,1426,36432
2010年,平成22年,26104,京都市中京区,87233,53357,50461,2896,27401,39117,27804,26025,1779,8411,48116,25553,24436,1117,18990
2010年,平成22年,26105,京都市東山区,36963,20428,19156,1272,13369,15362,10052,9296,756,3904,21601,10376,9860,516,9465
2010年,平成22年,26110,京都市山科区,118085,67810,63247,4563,40979,55679,38128,35235,2893,13196,62406,29682,28012,1670,27783
2010年,平成22年,26106,京都市下京区,68509,42043,39703,2340,20067,31047,21972,20550,1422,6075,37462,20071,19153,918,13992
2010年,平成22年,26107,京都市南区,86599,52436,47548,4888,28831,43283,31231,27931,3300,9332,43316,21205,19617,1588,19499
2010年,平成22年,26108,京都市右京区,174160,101400,94984,6416,60756,81429,56787,52764,4023,18885,92731,44613,42220,2393,41871
2010年,平成22年,26111,京都市西京区,129343,74849,70309,4540,46467,61031,42931,40006,2925,14299,68312,31918,30303,1615,32168
2010年,平成22年,26109,京都市伏見区,242277,135649,125965,9684,83651,114665,77437,71146,6291,26313,127612,58212,54819,3393,57338
2010年,平成22年,26201,福知山市,68024,41476,39466,2010,24567,33077,24200,22852,1348,7878,34947,17276,16614,662,16689
2010年,平成22年,26202,舞鶴市,76126,44284,42110,2174,28520,37940,27044,25547,1497,9231,38186,17240,16563,677,19289
2010年,平成22年,26203,綾部市,31280,17743,16750,993,13145,14651,10091,9396,695,4373,16629,7652,7354,298,8772
2010年,平成22年,26204,宇治市,161605,90221,84684,5537,63312,77417,52939,49226,3713,20706,84188,37282,35458,1824,42606
2010年,平成22年,26205,宮津市,17651,9919,9528,391,6980,8190,5571,5298,273,2282,9461,4348,4230,118,4698
2010年,平成22年,26206,亀岡市,78818,47424,44729,2695,29484,37893,27539,25719,1820,9482,40925,19885,19010,875,20002
2010年,平成22年,26207,城陽市,69702,39130,36667,2463,27996,33442,22846,21198,1648,9369,36260,16284,15469,815,18627
2010年,平成22年,26208,向日市,46238,27235,25312,1923,18159,21971,15989,14676,1313,5547,24267,11246,10636,610,12612
2010年,平成22年,26209,長岡京市,67050,38739,36017,2722,27757,32180,23142,21314,1828,8742,34870,15597,14703,894,19015
2010年,平成22年,26210,八幡市,64037,36426,33407,3019,25976,31142,21876,19774,2102,8461,32895,14550,13633,917,17515
2010年,平成22年,26211,京田辺市,57786,30435,28826,1609,25567,28557,18148,17075,1073,9564,29229,12287,11751,536,16003
2010年,平成22年,26212,京丹後市,50981,31378,29717,1661,19429,24114,17544,16355,1189,6482,26867,13834,13362,472,12947
2010年,平成22年,26213,南丹市,31042,17092,16187,905,13535,14969,9902,9241,661,4864,16073,7190,6946,244,8671
2010年,平成22年,26214,木津川市,57698,33245,31137,2108,22865,27248,19726,18314,1412,6723,30450,13519,12823,696,16142
2010年,平成22年,26303,乙訓郡大山崎町,12924,7403,6911,492,5339,6205,4268,3934,334,1846,6719,3135,2977,158,3493
2010年,平成22年,26322,久世郡久御山町,13648,8463,7884,579,4729,6607,4922,4513,409,1460,7041,3541,3371,170,3269
2010年,平成22年,26343,綴喜郡井手町,7430,4049,3628,421,3086,3583,2458,2136,322,964,3847,1591,1492,99,2122
2010年,平成22年,26344,綴喜郡宇治田原町,8308,5177,4934,243,3067,4086,3054,2892,162,995,4222,2123,2042,81,2072
2010年,平成22年,26364,相楽郡笠置町,1506,776,692,84,729,699,446,386,60,253,807,330,306,24,476
2010年,平成22年,26365,相楽郡和束町,4091,2353,2137,216,1679,1909,1374,1229,145,508,2182,979,908,71,1171
2010年,平成22年,26366,相楽郡精華町,29233,17036,16102,934,11752,13825,10146,9550,596,3466,15408,6890,6552,338,8286
2010年,平成22年,26367,相楽郡南山城村,2825,1575,1494,81,1244,1320,907,847,60,410,1505,668,647,21,834
2010年,平成22年,26407,船井郡京丹波町,13945,8073,7621,452,5788,6505,4634,4306,328,1835,7440,3439,3315,124,3953
2010年,平成22年,26463,与謝郡伊根町,2210,1161,1117,44,1041,1009,687,654,33,317,1201,474,463,11,724
2010年,平成22年,26465,与謝郡与謝野町,20116,12147,11458,689,7593,9333,6624,6137,487,2522,10783,5523,5321,202,5071
